"","cluster","LFC.DEgenes_sig_Astrocytes_DD_NP_ZIKV_Astrocytes_DD_NP_Mock2zika_GM_ZIKA_Astrocytes2mock","LFC.DEgenes_sig_Astrocytes_GM_NP_ZIKV_Astrocytes_GM_NP_Mock2zika_GM_ZIKA_Astrocyte2mocks","LFC.DEgenes_sig_Early Neurons_DD_NP_ZIKV_Early Neurons_DD_NP_Mock2zika_GM_ZIKA_Neurons2mock","LFC.DEgenes_sig_Early Neurons_GM_NP_ZIKV_Early Neurons_GM_NP_Mock2zika_GM_ZIKA_Neurons2mock","LFC.DEgenes_sig_Neurons_DD_NP_ZIKV_Neurons_DD_NP_Mock2zika_GM_ZIKA_Neurons2mock","LFC.DEgenes_sig_Neurons_GM_NP_ZIKV_Neurons_GM_NP_Mock2zika_GM_ZIKA_Neurons2mock","LFC.DEgenes_sig_NPC_DD_NP_ZIKV_NPC_DD_NP_Mock2zika_DD_ZIKA_NPC2mock","LFC.DEgenes_sig_NPC_GM_NP_IFNb_NPC_GM_NP_Mock_GM_IFNb_NPC","LFC.DEgenes_sig_NPC_GM_NP_ZIKV_NPC_GM_NP_Mock2zika_GM_ZIKA_NPC2mock","LFC.DEgenes_sig_Oligodendrocyte_DD_NP_ZIKV_Oligodendrocyte_DD_NP_Mock2zika_GM_ZIKA_Oligodendrocyte2mock","LFC.DEgenes_sig_Oligodendrocyte_GM_NP_ZIKV_Oligodendrocyte_GM_NP_Mock2zika_GM_ZIKA_Oligodendrocyte2mock","pct.DEgenes_sig_Astrocytes_DD_NP_ZIKV_Astrocytes_DD_NP_Mock2zika_GM_ZIKA_Astrocytes2mock","pct.DEgenes_sig_Astrocytes_GM_NP_ZIKV_Astrocytes_GM_NP_Mock2zika_GM_ZIKA_Astrocyte2mocks","pct.DEgenes_sig_Early Neurons_DD_NP_ZIKV_Early Neurons_DD_NP_Mock2zika_GM_ZIKA_Neurons2mock","pct.DEgenes_sig_Early Neurons_GM_NP_ZIKV_Early Neurons_GM_NP_Mock2zika_GM_ZIKA_Neurons2mock","pct.DEgenes_sig_Neurons_DD_NP_ZIKV_Neurons_DD_NP_Mock2zika_GM_ZIKA_Neurons2mock","pct.DEgenes_sig_Neurons_GM_NP_ZIKV_Neurons_GM_NP_Mock2zika_GM_ZIKA_Neurons2mock","pct.DEgenes_sig_NPC_DD_NP_ZIKV_NPC_DD_NP_Mock2zika_DD_ZIKA_NPC2mock","pct.DEgenes_sig_NPC_GM_NP_IFNb_NPC_GM_NP_Mock_GM_IFNb_NPC","pct.DEgenes_sig_NPC_GM_NP_ZIKV_NPC_GM_NP_Mock2zika_GM_ZIKA_NPC2mock","pct.DEgenes_sig_Oligodendrocyte_DD_NP_ZIKV_Oligodendrocyte_DD_NP_Mock2zika_GM_ZIKA_Oligodendrocyte2mock","pct.DEgenes_sig_Oligodendrocyte_GM_NP_ZIKV_Oligodendrocyte_GM_NP_Mock2zika_GM_ZIKA_Oligodendrocyte2mock"
"POP7","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.260509839280246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.435,NA,NA,NA
"CENPW","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.284569391583318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.431,NA,NA,NA
"RPA2","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.277542404451411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.433,NA,NA,NA
"HIST1H1B","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.292379990698329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.149,NA,NA,NA
"CDCA3","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.277598165419648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.248,NA,NA,NA
"CDC20","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.317197974522197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.306,NA,NA,NA
"FAM64A","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.28315886667483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.322,NA,NA,NA
"CCNB1","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.407019801625265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.346,NA,NA,NA
"AURKB","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.330539294309231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34,NA,NA,NA
"DLGAP5","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.318301149249919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.361,NA,NA,NA
"CDK1","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.357705709608447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.359,NA,NA,NA
"HIST1H1C","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.346671007851247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.387,NA,NA,NA
"GMNN","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.295844705451441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.584,NA,NA,NA
"PHGDH","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.318042487048838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.593,NA,NA,NA
"MDH1","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.260890096015566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.633,NA,NA,NA
"IDH2","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.290710269351198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.616,NA,NA,NA
"FABP5","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.276416641013339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.606,NA,NA,NA
"VDAC3","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.266374572747416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.594,NA,NA,NA
"PTTG1","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.293481052488743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.488,NA,NA,NA
"CENPU","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.308247028687699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.486,NA,NA,NA
"RNASEH2A","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.303475620244535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.479,NA,NA,NA
"SNRNP40","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.265222337489472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.524,NA,NA,NA
"ARL6IP1","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.283606730214646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA
"C9orf142","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.270242263143799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.497,NA,NA,NA
"STRA13","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.275298276200442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA
"PGP","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.270072402189489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.565,NA,NA,NA
"EIF4A3","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.269641298784241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.553,NA,NA,NA
"PRDX4","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.266631216043386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.552,NA,NA,NA
"ALYREF","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.314440248791652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.545,NA,NA,NA
"EXOSC8","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.288796686158064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54,NA,NA,NA
"BIRC5","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.298508839666593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.528,NA,NA,NA
"MRPS26","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.293153827684335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.515,NA,NA,NA
"GINS2","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.36235488335751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.572,NA,NA,NA
"UBE2S","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.383759214243302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.567,NA,NA,NA
"DTYMK","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.372577501186187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.627,NA,NA,NA
"KIAA0101","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.34715456595176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.602,NA,NA,NA
"CKS2","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.407536180914677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.655,NA,NA,NA
"MCM7","mistyrose2",NA,NA,NA,NA,NA,NA,NA,-0.407904006404972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.657,NA,NA,NA
